,game_id,datetime,year,month,home,homescore,away,awayscore,ref,attendance,score_deficit,totals
210,2010-02-13CastlefordWarrington,2010-02-13,2010,Feb,Castleford,16,Warrington,28,B. Thaler,7569.0,-12,44
211,2010-02-14LondonCatalans,2010-02-14,2010,Feb,London,16,Catalans,4,R. Silverwood,2330.0,12,20
212,2010-02-14BradfordSt Helens,2010-02-14,2010,Feb,Bradford,6,St Helens,38,P. Bentham,10165.0,-32,44
213,2010-02-14Wakefield TrinityLeeds,2010-02-14,2010,Feb,Wakefield Trinity,28,Leeds,18,J. Child,9783.0,10,46
214,2010-02-19BradfordCastleford,2010-02-19,2010,Feb,Bradford,41,Castleford,22,T. Alibert,8019.0,19,63
215,2010-02-19LeedsSalford,2010-02-19,2010,Feb,Leeds,22,Salford,10,P. Bentham,12700.0,12,32
216,2010-02-20CatalansSt Helens,2010-02-20,2010,Feb,Catalans,12,St Helens,42,S. Ganson,7825.0,-30,54
217,2010-02-20WarringtonWigan,2010-02-20,2010,Feb,Warrington,20,Wigan,22,R. Silverwood,13024.0,-2,42
218,2010-02-21Hull KRHuddersfield,2010-02-21,2010,Feb,Hull KR,0,Huddersfield,30,B. Thaler,7575.0,-30,30
219,2010-02-21CrusadersHull FC,2010-02-21,2010,Feb,Crusaders,18,Hull FC,16,I. Smith,6794.0,2,34
220,2010-02-26SalfordBradford,2010-02-26,2010,Feb,Salford,0,Bradford,7,J. Child,3806.0,-7,7
