fixture_id,fixture_url,player_id,player_name,position_id,team_id,opposition_id,tries,goals_made,goals_missed,drop_goals,tackles_made,carries,metres,kicks_in_gen_play,try_assists,forty_twentys,dummy_half_runs,tackle_busts_breaks,clean_line_breaks,offloads,tackles_missed,errors,pens_conceded,yellow_cards,red_cards,help_anytime,help_brace,help_hattrick
11236,https://www.superleague.co.uk/match-centre/report/44053,986,Tom Inman,9,York RLFC,St Helens,0,0,0,0,35,2,7,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0
11236,https://www.superleague.co.uk/match-centre/report/44053,585,Jordan Thompson,16,York RLFC,St Helens,0,0,0,0,19,10,43,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11236,https://www.superleague.co.uk/match-centre/report/44053,688,Kieran Buchanan,18,York RLFC,St Helens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11236,https://www.superleague.co.uk/match-centre/report/44053,894,Oliver Field,12,York RLFC,St Helens,2,0,0,0,27,8,65,0,1,0,0,3,2,0,3,1,0,0,0,1,1,0
11236,https://www.superleague.co.uk/match-centre/report/44053,636,Ata Hingano,13,York RLFC,St Helens,0,0,0,0,28,14,94,2,0,0,0,1,0,0,2,0,1,1,0,0,0,0
11236,https://www.superleague.co.uk/match-centre/report/44053,892,Liam Harris,15,York RLFC,St Helens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11236,https://www.superleague.co.uk/match-centre/report/44053,206,Paul Vaughan,16,York RLFC,St Helens,1,0,0,0,23,15,121,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0
11236,https://www.superleague.co.uk/match-centre/report/44053,896,Jack Martin,8,York RLFC,St Helens,0,0,0,0,27,12,84,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
11236,https://www.superleague.co.uk/match-centre/report/44053,233,Denive Balmforth,17,York RLFC,St Helens,1,0,0,0,7,3,22,0,0,0,2,3,1,0,1,0,2,0,0,1,0,0
11236,https://www.superleague.co.uk/match-centre/report/44053,274,Matthew Foster,11,York RLFC,St Helens,0,0,0,0,24,9,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,898,Charlie Staines,1,Catalans Dragons,Wakefield Trinity,0,0,0,0,6,21,169,0,0,0,1,4,1,3,3,0,1,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,284,Guillermo Aispuro-Bichet,3,Catalans Dragons,Wakefield Trinity,0,2,0,0,27,16,100,2,0,0,2,1,0,0,4,1,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,798,Nick Cotric,2,Catalans Dragons,Wakefield Trinity,0,0,0,0,6,12,83,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,847,Clement Martin,4,Catalans Dragons,Wakefield Trinity,0,0,0,0,28,17,98,0,0,0,1,4,0,1,3,1,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,74,Tommy Makinson,5,Catalans Dragons,Wakefield Trinity,0,0,0,0,3,14,86,0,0,0,0,2,0,1,2,6,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,900,Toby Sexton,6,Catalans Dragons,Wakefield Trinity,1,0,0,0,18,5,24,18,0,0,0,3,1,1,1,0,0,0,0,1,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,80,Lewis Dodd,7,Catalans Dragons,Wakefield Trinity,0,0,0,0,21,6,26,6,2,0,0,1,0,2,4,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,901,Josh Allen,8,Catalans Dragons,Wakefield Trinity,0,0,0,0,41,8,55,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,289,Ugo Tison,9,Catalans Dragons,Wakefield Trinity,0,0,0,0,21,1,2,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,273,Franck Maria,10,Catalans Dragons,Wakefield Trinity,0,0,0,0,27,5,28,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,902,Zac Lipowicz,12,Catalans Dragons,Wakefield Trinity,0,0,0,0,32,7,59,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,225,Benjamin Garcia,13,Catalans Dragons,Wakefield Trinity,0,0,0,0,24,8,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,223,Matthieu Laguerre,11,Catalans Dragons,Wakefield Trinity,1,0,0,0,43,7,43,0,0,0,0,4,1,0,4,0,1,0,0,1,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,190,Julian Bousquet,16,Catalans Dragons,Wakefield Trinity,0,0,0,0,22,7,38,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,188,Chris Satae,16,Catalans Dragons,Wakefield Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,171,Kruise Leeming,17,Catalans Dragons,Wakefield Trinity,0,0,0,0,25,4,42,0,0,0,4,1,0,0,7,0,1,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,903,Ben Condon,18,Catalans Dragons,Wakefield Trinity,0,0,0,0,25,5,43,0,0,0,0,6,0,0,2,1,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,937,Alexis Lis,18,Catalans Dragons,Wakefield Trinity,0,0,0,0,28,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,321,Josh Rourke,1,Wakefield Trinity,Catalans Dragons,0,0,0,0,1,14,130,0,0,0,0,3,2,2,1,1,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,849,Jayden Myers,2,Wakefield Trinity,Catalans Dragons,0,0,0,0,9,17,151,0,1,0,1,5,1,2,0,3,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,5,Cameron Scott,3,Wakefield Trinity,Catalans Dragons,2,0,0,0,12,12,163,2,0,0,1,3,2,0,2,0,0,0,0,1,1,0
11237,https://www.superleague.co.uk/match-centre/report/44054,31,Corey Hall,4,Wakefield Trinity,Catalans Dragons,0,0,0,0,13,16,128,2,0,0,1,2,0,2,5,1,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,356,Will Tate,14,Wakefield Trinity,Catalans Dragons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,184,Tom Johnstone,5,Wakefield Trinity,Catalans Dragons,0,0,0,0,2,20,170,0,0,0,0,5,0,4,2,2,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,314,Jack Sinfield,6,Wakefield Trinity,Catalans Dragons,0,4,2,0,22,9,65,15,1,0,0,2,0,1,4,2,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,313,Jake Trueman,7,Wakefield Trinity,Catalans Dragons,1,0,0,0,18,12,18,19,2,0,0,6,1,2,3,0,0,0,0,1,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,921,Tyson Smoothy,9,Wakefield Trinity,Catalans Dragons,0,0,0,0,30,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,831,Ky Rodwell,10,Wakefield Trinity,Catalans Dragons,0,0,0,0,18,15,133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,805,Isaiah Vagana,11,Wakefield Trinity,Catalans Dragons,2,0,0,0,30,13,121,0,0,0,1,2,1,0,3,2,0,0,0,1,1,0
11237,https://www.superleague.co.uk/match-centre/report/44054,218,Matty Storton,12,Wakefield Trinity,Catalans Dragons,0,0,0,0,26,9,37,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,923,Jazz Tevaga,18,Wakefield Trinity,Catalans Dragons,0,0,0,0,16,14,100,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,943,Tray Lolesio,8,Wakefield Trinity,Catalans Dragons,0,0,0,0,17,15,116,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,804,Caleb Hamlin-Uele,16,Wakefield Trinity,Catalans Dragons,1,0,0,0,31,14,123,0,0,0,0,1,1,2,2,1,0,0,0,1,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,803,Caius Faatili,16,Wakefield Trinity,Catalans Dragons,0,0,0,0,18,5,25,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,478,Harvey Smith,17,Wakefield Trinity,Catalans Dragons,0,0,0,0,8,3,16,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
11237,https://www.superleague.co.uk/match-centre/report/44054,389,Jay Pitts,13,Wakefield Trinity,Catalans Dragons,0,0,0,0,32,8,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11238,https://www.superleague.co.uk/match-centre/report/44055,303,Logan Moy,1,Hull FC,St Helens,0,0,0,0,4,18,151,1,0,0,2,3,0,0,0,2,0,0,0,0,0,0
11238,https://www.superleague.co.uk/match-centre/report/44055,229,Harvey Barron,2,Hull FC,St Helens,3,0,0,0,0,19,168,0,0,0,1,8,2,0,1,2,0,0,0,1,1,1
11238,https://www.superleague.co.uk/match-centre/report/44055,37,Zak Hardaker,3,Hull FC,St Helens,0,4,2,0,11,9,91,0,2,0,0,4,1,1,1,1,0,0,0,0,0,0
11238,https://www.superleague.co.uk/match-centre/report/44055,192,Arthur Romano,14,Hull FC,St Helens,0,0,0,0,8,6,41,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
11238,https://www.superleague.co.uk/match-centre/report/44055,38,Tom Briscoe,4,Hull FC,St Helens,0,0,0,0,18,10,100,0,0,0,0,3,1,0,5,0,1,0,0,0,0,0
11238,https://www.superleague.co.uk/match-centre/report/44055,6,Lewis Martin,5,Hull FC,St Helens,1,0,0,0,12,16,124,2,0,0,0,4,1,0,3,4,1,0,0,1,0,0
