competition_id,fixture_id,fixture_date,fixture_time,fixture_url,fixture_round,neutral_venue,weather_temp,weather_rainfall,weather_wind,weather_phenomena,home_team,away_team,home_odds,draw_odds,away_odds,ht_handicap_line,handicap_line,ht_total_points_line,total_points_line,home_ht_score,away_ht_score,home_ft_score,away_ft_score,home_agp_score,away_agp_score,first_scoring_play,team_scoring_first_try,team_scoring_last_try,first_tryscorer_name,last_tryscorer_name,help_home_ht_cover,help_away_ht_cover,help_home_cover,help_away_cover,help_ht_over,help_ht_under,help_over,help_under
2,10905,2024-09-06,20:00:00,https://www.superleague.co.uk/match-centre/report/4531,25,0,16.98,0.0,5.66,broken clouds,Leeds Rhinos,Hull FC,1.05,45.05,10.05,-9.5,-20.5,21.5,43.5,32,0,68,6,,,Home Pen,Home,Home,Harry Newman,James Bentley,1,0,1,0,1,0,1,0
2,10904,2024-09-06,20:00:00,https://www.superleague.co.uk/match-centre/report/4529,25,0,19.78,0.0,1.79,clear sky,Wigan Warriors,Hull Kingston Rovers,1.45,21.0,2.9,-2.5,-5.5,16.5,34.5,8,12,24,20,,,Away Try,Away,Home,Matt Parcell,Liam Marshall,0,1,0,1,1,0,1,0
2,10906,2024-09-07,15:00:00,https://www.superleague.co.uk/match-centre/report/4530,25,0,20.07,0.0,2.57,overcast clouds,Warrington Wolves,St Helens,1.35,20.3,3.25,-2.5,-6.5,17.5,36.5,12,2,16,2,,,Away Pen,Home,Home,Matty Ashton,Jordan Crowther,1,0,1,0,0,1,0,1
2,10907,2024-09-07,17:00:00,https://www.superleague.co.uk/match-centre/report/4532,25,0,19.48,0.0,4.12,scattered clouds,Salford Red Devils,Catalans Dragons,1.5,19.4,2.7,-1.5,-4.5,17.5,36.5,12,6,27,12,,,Away Pen,Home,Away,Jayden Nikorima,Bayley Sironen,1,0,1,0,1,0,1,0
2,10908,2024-09-08,15:00:00,https://www.superleague.co.uk/match-centre/report/4533,25,0,16.78,0.0,1.67,overcast clouds,Huddersfield Giants,London Broncos,1.2,26.5,4.85,-5.5,-12.5,21.5,43.5,14,6,22,16,,,Away Try,Away,Home,Marcus Stock,Harry Rushton,1,0,0,1,0,1,0,1
2,10911,2024-09-13,20:00:00,https://www.superleague.co.uk/match-centre/report/4536,26,0,12.13,0.0,1.05,broken clouds,Leigh Leopards,Hull Kingston Rovers,1.9,18.2,1.95,0.5,-0.5,17.5,36.5,0,10,0,24,,,Away Try,Away,Away,Ryan Hall,Mikey Lewis,0,1,0,1,0,1,0,1
2,10910,2024-09-13,20:00:00,https://www.superleague.co.uk/match-centre/report/4535,26,0,12.61,0.0,1.54,broken clouds,St Helens,Castleford Tigers,1.05,33.5,9.8,-10.5,-21.5,20.5,42.5,14,4,40,4,,,Home Try,Home,Home,Jake Burns,George Delaney,0,1,1,0,0,1,1,0
2,10909,2024-09-13,20:00:00,https://www.superleague.co.uk/match-centre/report/4534,26,0,12.23,0.0,1.03,broken clouds,Wigan Warriors,Leeds Rhinos,1.15,24.8,5.3,-5.5,-12.5,17.5,36.5,14,0,38,0,,,Home Try,Home,Home,Jake Wardle,Bevan French,1,0,1,0,0,1,1,0
2,10912,2024-09-14,17:00:00,https://www.superleague.co.uk/match-centre/report/4538,26,0,20.53,0.0,8.75,few clouds,Hull FC,Salford Red Devils,8.5,31.1,1.05,9.5,19.5,21.5,44.5,0,28,4,58,,,Away Try,Away,Away,Tim Lafai,Joe Mellor,0,1,0,1,1,0,1,0
2,10913,2024-09-14,18:00:00,https://www.superleague.co.uk/match-centre/report/4539,26,0,17.43,0.0,0.45,broken clouds,Huddersfield Giants,Warrington Wolves,7.0,28.4,1.1,7.5,16.5,20.5,42.5,0,36,0,66,,,Away Try,Away,Away,Matty Ashton,Rodrick Tai,0,1,0,1,1,0,1,0
2,10914,2024-09-14,21:00:00,https://www.superleague.co.uk/match-centre/report/4537,26,0,19.99,0.0,6.69,clear sky,Catalans Dragons,London Broncos,1.05,29.4,8.25,-8.5,-18.5,21.5,43.5,0,6,12,8,,,Away Try,Away,Home,Lee Kershaw,Arthur Romano,0,1,0,1,0,1,0,1
2,10916,2024-09-19,20:00:00,https://www.superleague.co.uk/match-centre/report/4541,27,0,13.92,0.0,3.17,overcast clouds,Huddersfield Giants,Castleford Tigers,1.6,23.1,2.45,-1.5,-3.5,21.5,43.5,22,0,34,10,,,Home Try,Home,Away,Sam Hewitt,Alex Mellor,1,0,1,0,1,0,1,0
2,10915,2024-09-19,20:00:00,https://www.superleague.co.uk/match-centre/report/4540,27,0,16.98,0.0,1.34,overcast clouds,Wigan Warriors,Salford Red Devils,1.01,59.25,32.0,-22.5,-46.5,28.5,58.5,28,0,64,0,,,Home Try,Home,Home,Liam Marshall,Bevan French,1,0,1,0,0,1,1,0
2,10917,2024-09-20,20:00:00,https://www.superleague.co.uk/match-centre/report/4543,27,0,16.45,0.0,4.63,mist,Hull Kingston Rovers,Leeds Rhinos,1.15,24.4,5.9,-7.5,-15.5,18.5,37.5,10,10,26,16,,,Away Try,Away,Away,Rhyse Martin,Andy Ackers,0,1,0,1,1,0,1,0
2,10918,2024-09-20,20:00:00,https://www.superleague.co.uk/match-centre/report/4544,27,0,15.66,0.0,1.34,clear sky,Leigh Leopards,St Helens,1.8,17.7,2.1,-0.5,-1.5,16.5,34.5,12,0,18,12,,,Home Try,Home,Home,John Asiata,Josh Charnley,1,0,1,0,0,1,0,1
2,10919,2024-09-20,20:00:00,https://www.superleague.co.uk/match-centre/report/4545,27,0,15.59,0.0,3.6,clear sky,Warrington Wolves,London Broncos,1.01,50.85,14.35,-14.5,-30.5,25.5,51.5,26,0,54,0,,,Home Try,Home,Home,Matty Ashton,Ben Currie,1,0,1,0,1,0,1,0
2,10920,2024-09-21,15:00:00,https://www.superleague.co.uk/match-centre/report/4542,27,0,19.3,0.0,5.66,mist,Hull FC,Catalans Dragons,6.35,28.2,1.1,8.5,17.5,20.5,42.5,4,6,4,24,,,Home Try,Home,Away,Lewis Martin,Tom Davies,1,0,0,1,0,1,0,1
2,10921,2024-09-27,20:00:00,https://www.superleague.co.uk/match-centre/report/43237,ELIMINATOR GAME 1,0,9.04,0.0,2.06,few clouds,Salford Red Devils,Leigh Leopards,2.25,17.55,1.7,0.5,2.5,15.5,31.5,2,0,6,14,,,Home Pen,Away,Home,Josh Charnley,Ethan Ryan,1,0,0,1,0,1,0,1
2,10922,2024-09-28,17:00:00,https://www.superleague.co.uk/match-centre/report/43238,ELIMINATOR GAME 2,0,12.94,0.13,4.12,light rain,Warrington Wolves,St Helens,1.3,18.5,3.65,-3.5,-8.5,15.5,31.5,10,16,22,22,23,22,Home Try,Home,Away,Toby King,Jonathan Bennison,0,1,0,1,1,0,1,0
2,10923,2024-10-04,20:00:00,https://www.superleague.co.uk/match-centre/report/43247,SEMI-FINAL 1,0,12.1,0.0,1.03,few clouds,Hull Kingston Rovers,Warrington Wolves,1.5,17.5,2.7,-2.5,-5.5,15.5,32.5,10,0,10,8,,,Home Try,Home,Away,James Batchelor,Matty Ashton,1,0,0,1,0,1,0,1
2,10924,2024-10-05,17:00:00,https://www.superleague.co.uk/match-centre/report/43248,SEMI-FINAL 2,0,15.94,0.0,3.58,broken clouds,Wigan Warriors,Leigh Leopards,1.2,21.4,4.6,-4.5,-10.5,16.5,33.5,18,0,38,0,,,Home Try,Home,Home,Liam Marshall,Jai Field,1,0,1,0,1,0,1,0
2,10925,2024-10-12,18:00:00,https://www.superleague.co.uk/match-centre/report/43249,GRAND FINAL,1,8.75,0.0,3.13,broken clouds,Wigan Warriors,Hull Kingston Rovers,1.35,17.9,3.3,-2.5,-6.5,14.5,29.5,7,0,9,2,,,Home Try,Home,Home,Bevan French,Bevan French,1,0,1,0,0,1,0,1
2,10926,2025-02-13,20:00:00,https://www.superleague.co.uk/match-centre/report/43413,1,0,3.37,0.0,4.66,overcast clouds,Wigan Warriors,Leigh Leopards,1.1,26.45,7.5,-6.5,-14.5,16.5,34.5,0,0,0,0,0,1,Away Drop,None,None,None,None,0,1,0,1,0,1,0,1
2,10928,2025-02-14,20:00:00,https://www.superleague.co.uk/match-centre/report/43415,1,0,12.55,0.0,5.45,clear sky,Catalans Dragons,Hull FC,1.25,21.1,4.0,-4.5,-10.5,16.5,34.5,0,18,4,24,,,Away Try,Away,Away,Jordan Lane,Cade Cust,0,1,0,1,1,0,0,1
2,10927,2025-02-14,20:00:00,https://www.superleague.co.uk/match-centre/report/43414,1,0,1.94,0.0,3.29,overcast clouds,Hull Kingston Rovers,Castleford Tigers,1.05,37.85,11.85,-10.5,-22.5,19.5,40.5,8,12,18,18,19,18,Home Try,Home,Away,Joe Burgess,Zac Cini,0,1,0,1,1,0,0,1
2,10929,2025-02-15,15:00:00,https://www.superleague.co.uk/match-centre/report/43416,1,0,1.76,0.0,1.97,overcast clouds,Leeds Rhinos,Wakefield Trinity,1.2,22.0,4.45,-4.5,-10.5,16.5,34.5,6,14,12,14,,,Away Try,Away,Home,Max Jowitt,Sam Lisone,0,1,0,1,1,0,0,1
2,10930,2025-02-15,17:00:00,https://www.superleague.co.uk/match-centre/report/43417,1,0,3.92,0.0,2.59,overcast clouds,St Helens,Salford Red Devils,1.01,65.65,38.0,-23.5,-48.5,29.5,60.5,38,0,82,0,,,Home Try,Home,Home,Morgan Knowles,George Delaney,1,0,1,0,1,0,1,0
2,10931,2025-02-16,15:00:00,https://www.superleague.co.uk/match-centre/report/43418,1,0,3.34,0.0,4.33,overcast clouds,Huddersfield Giants,Warrington Wolves,3.9,20.95,1.25,4.5,10.5,16.5,34.5,6,4,12,20,,,Home Try,Home,Away,Tui Lolohea,Matt Dufty,1,0,1,0,0,1,0,1
2,10932,2025-02-20,20:00:00,https://www.superleague.co.uk/match-centre/report/43419,2,0,12.79,0.0,5.98,scattered clouds,Wakefield Trinity,Hull Kingston Rovers,4.85,22.55,1.2,4.5,10.5,17.5,35.5,2,6,12,14,,,Away Try,Away,Home,Tom Davies,Oliver Pratt,1,0,1,0,0,1,0,1
2,10934,2025-02-21,20:00:00,https://www.superleague.co.uk/match-centre/report/43421,2,0,14.42,0.0,9.26,scattered clouds,Hull FC,Wigan Warriors,4.95,22.7,1.2,5.5,12.5,16.5,33.5,0,22,4,46,,,Away Try,Away,Away,Jai Field,Bevan French,0,1,0,1,1,0,1,0
2,10933,2025-02-21,20:00:00,https://www.superleague.co.uk/match-centre/report/43420,2,0,12.46,0.32,7.2,light rain,Warrington Wolves,Catalans Dragons,1.2,22.7,5.0,-5.5,-12.5,16.5,34.5,6,6,18,12,,,Away Pen,Home,Away,Toby King,Matthieu Laguerre,0,1,0,1,0,1,0,1
2,10935,2025-02-22,15:00:00,https://www.superleague.co.uk/match-centre/report/43422,2,0,13.05,0.0,6.69,few clouds,Salford Red Devils,Leeds Rhinos,1.65,19.45,2.3,-0.5,-2.5,18.5,37.5,6,16,6,32,,,Home Try,Home,Away,Kallum Watkins,Ryan Hall,0,1,0,1,1,0,1,0
2,10936,2025-02-22,20:00:00,https://www.superleague.co.uk/match-centre/report/43423,2,0,9.22,0.0,3.08,clear sky,Castleford Tigers,St Helens,5.5,25.65,1.15,7.5,15.5,19.5,40.5,6,14,6,46,,,Away Try,Away,Away,Joe Batchelor,Jonathan Bennison,0,1,0,1,1,0,1,0
2,10937,2025-02-23,14:00:00,https://www.superleague.co.uk/match-centre/report/43424,2,0,10.47,0.27,5.36,light rain,Leigh Leopards,Huddersfield Giants,1.2,22.3,5.1,-5.5,-12.5,14.5,30.5,6,8,24,10,,,Home Try,Home,Home,Keanan Brand,Tesi Niu,0,1,1,0,0,1,1,0
2,10938,2025-02-27,20:00:00,https://www.superleague.co.uk/match-centre/report/43425,3,0,5.08,0.0,1.03,broken clouds,Hull Kingston Rovers,Salford Red Devils,1.25,19.7,3.9,-3.5,-8.5,17.5,36.5,20,0,42,0,,,Home Try,Home,Home,Kelepi Tanginoa,Jez Litten,1,0,1,0,1,0,1,0
2,10939,2025-02-28,20:00:00,https://www.superleague.co.uk/match-centre/report/43426,3,0,5.85,0.0,0.45,few clouds,Huddersfield Giants,Hull FC,1.7,18.7,2.25,-0.5,-2.5,16.5,34.5,10,4,10,11,,,Away Try,Away,Away,Lewis Martin,Harvey Barron,1,0,0,1,0,1,0,1
2,10940,2025-02-28,20:00:00,https://www.superleague.co.uk/match-centre/report/43427,3,0,4.38,0.0,1.31,clear sky,Leigh Leopards,Catalans Dragons,1.45,18.3,2.85,-2.5,-5.5,15.5,32.5,16,0,34,6,,,Home Try,Home,Home,Umyla Hanley,Umyla Hanley,1,0,1,0,1,0,1,0
2,10941,2025-03-01,14:00:00,https://www.superleague.co.uk/match-centre/report/43428,3,0,9.63,0.0,2.71,overcast clouds,Wakefield Trinity,St Helens,4.7,23.7,1.2,6.5,13.5,19.5,39.5,6,14,6,26,,,Away Pen,Away,Away,Jack Welsby,Kyle Feldt,0,1,0,1,1,0,0,1
2,10942,2025-03-01,21:00:00,https://www.superleague.co.uk/match-centre/report/43429,3,1,22.0,0.0,0.0,overcast clouds,Wigan Warriors,Warrington Wolves,1.3,19.75,3.8,-3.5,-8.5,16.5,33.5,24,0,48,24,,,Home Try,Home,Away,Tyler Dupree,Matty Ashton,1,0,1,0,1,0,1,0
2,10943,2025-03-02,15:00:00,https://www.superleague.co.uk/match-centre/report/43430,3,0,9.36,0.0,4.63,broken clouds,Leeds Rhinos,Castleford Tigers,1.15,26.9,5.35,-6.5,-14.5,20.5,42.5,18,0,38,24,,,Home Try,Home,Away,Jake Connor,Innes Senior,1,0,0,1,0,1,1,0
2,10944,2025-03-06,20:00:00,https://www.superleague.co.uk/match-centre/report/43431,4,0,13.32,0.0,6.69,overcast clouds,Hull FC,Leigh Leopards,2.6,19.0,1.55,2.5,5.5,17.5,35.5,6,12,22,22,22,22,Home Try,Home,Home,Jed Cartwright,Lewis Martin,0,1,1,0,1,0,1,0
2,10945,2025-03-07,20:00:00,https://www.superleague.co.uk/match-centre/report/43433,4,0,13.33,0.0,2.67,overcast clouds,Castleford Tigers,Salford Red Devils,1.5,19.85,2.65,-1.5,-4.5,19.5,39.5,6,6,22,14,,,Home Try,Home,Home,Liam Horne,Judah Rimbu,0,1,1,0,0,1,0,1
2,10946,2025-03-07,20:00:00,https://www.superleague.co.uk/match-centre/report/43432,4,0,13.69,0.0,3.09,broken clouds,St Helens,Hull Kingston Rovers,1.35,19.1,3.25,-2.5,-6.5,16.5,34.5,6,10,10,20,,,Away Try,Away,Home,Mikey Lewis,Jack Welsby,0,1,0,1,0,1,0,1
2,10947,2025-03-08,17:00:00,https://www.superleague.co.uk/match-centre/report/43434,4,0,14.43,0.0,9.77,overcast clouds,Catalans Dragons,Leeds Rhinos,1.7,17.45,2.25,-0.5,-2.5,14.5,30.5,1,0,11,0,,,Home Drop,Home,Home,Reimis Smith,Reimis Smith,1,0,1,0,0,1,0,1
2,10948,2025-03-09,13:00:00,https://www.superleague.co.uk/match-centre/report/43435,4,0,17.22,0.0,2.24,overcast clouds,Warrington Wolves,Wakefield Trinity,1.3,21.1,3.7,-4.5,-10.5,19.5,40.5,10,12,16,30,,,Home Try,Home,Home,Arron Lindop,Josh Thewlis,0,1,0,1,1,0,1,0
2,10949,2025-03-09,13:00:00,https://www.superleague.co.uk/match-centre/report/43436,4,0,17.17,0.0,1.34,overcast clouds,Wigan Warriors,Huddersfield Giants,1.05,34.4,9.6,-10.5,-21.5,20.5,42.5,10,18,44,18,,,Away Try,Away,Home,Adam Swift,Kruise Leeming,0,1,1,0,1,0,1,0
2,10950,2025-03-20,20:00:00,https://www.superleague.co.uk/match-centre/report/43437,5,0,14.05,0.0,2.06,overcast clouds,Salford Red Devils,Huddersfield Giants,2.95,20.45,1.4,3.5,7.5,18.5,38.5,16,0,23,10,,,Home Try,Home,Away,Esan Marsters,Tui Lolohea,1,0,1,0,0,1,0,1
2,10951,2025-03-21,20:00:00,https://www.superleague.co.uk/match-centre/report/43438,5,0,13.98,0.65,5.14,light rain,St Helens,Warrington Wolves,1.5,17.7,2.75,-1.5,-4.5,15.5,32.5,2,8,12,14,,,Home Pen,Away,Home,George Williams,Dayon Sambou,0,1,0,1,0,1,0,1
2,10952,2025-03-21,20:00:00,https://www.superleague.co.uk/match-centre/report/43439,5,0,9.84,0.0,4.1,overcast clouds,Wakefield Trinity,Hull FC,1.9,19.0,1.95,-0.5,-1.5,17.5,36.5,8,6,12,16,,,Home Pen,Home,Home,Jack Croft,Cameron Scott,1,0,0,1,0,1,0,1
2,10953,2025-03-22,15:00:00,https://www.superleague.co.uk/match-centre/report/43440,5,0,14.21,0.0,1.71,overcast clouds,Castleford Tigers,Catalans Dragons,2.6,17.45,1.55,1.5,4.5,14.5,30.5,0,14,4,26,,,Away Try,Away,Home,Tevita Pangai Junior,Innes Senior,0,1,0,1,0,1,0,1
