competition_id,fixture_id,fixture_date,fixture_time,fixture_url,fixture_round,neutral_venue,weather_temp,weather_rainfall,weather_wind,weather_phenomena,home_team,away_team,home_odds,draw_odds,away_odds,ht_handicap_line,handicap_line,ht_total_points_line,total_points_line,home_ht_score,away_ht_score,home_ft_score,away_ft_score,home_agp_score,away_agp_score,first_scoring_play,team_scoring_first_try,team_scoring_last_try,first_tryscorer_name,last_tryscorer_name,help_home_ht_cover,help_away_ht_cover,help_home_cover,help_away_cover,help_ht_over,help_ht_under,help_over,help_under
2,11269,2026-09-04,20:00:00,https://www.superleague.co.uk/match-centre/report/44085,26,0,18.28,0,6.69,clear sky,Hull Kingston Rovers,Huddersfield Giants,1.15,29.3,5.5,-7.5,-15.5,23.5,48.5,18,6,36,6,,,Home Try,Home,Home,Elliot Minchella,Tom Davies,1,0,1,0,1,0,0,1
2,11270,2026-09-04,20:00:00,https://www.superleague.co.uk/match-centre/report/44086,26,0,17.33,0,4.92,clear sky,Leigh Leopards,St Helens,1.15,29.55,5.3,-6.5,-14.5,20.5,42.5,24,10,48,10,,,Home Try,Home,Home,Josh Charnley,Robbie Mulhern,1,0,1,0,1,0,1,0
2,11271,2026-09-05,15:00:00,https://www.superleague.co.uk/match-centre/report/44087,26,0,19.23,0,5.43,scattered clouds,Wakefield Trinity,Warrington Wolves,1.6,21.2,2.5,-1.5,-3.5,21.5,44.5,6,14,25,18,,,Away Pen,Home,Home,Tom Johnstone,Cameron Scott,0,1,1,0,0,1,0,1
2,11272,2026-09-05,20:00:00,https://www.superleague.co.uk/match-centre/report/44088,26,0,34.43,0,1.03,clear sky,Catalans Dragons,York RLFC,1.35,24.05,3.45,-4.5,-9.5,25.5,52.5,16,12,16,28,,,Home Try,Home,Away,Leo Darrelatour,Paul Vaughan,0,1,0,1,1,0,0,1
2,11273,2026-09-05,20:00:00,https://www.superleague.co.uk/match-centre/report/44089,26,0,16.57,0,3.6,clear sky,Leeds Rhinos,Wigan Warriors,1.8,17.8,2.1,-0.5,-2.5,17.5,35.5,8,16,8,40,,,Away Try,Away,Away,Adam Keighran,Adam Keighran,0,1,0,1,1,0,1,0
2,11274,2026-09-10,20:00:00,https://www.superleague.co.uk/match-centre/report/44094,27,0,15.95,0,6.66,overcast clouds,York RLFC,Bradford Bulls,1.3,25.65,3.5,-4.5,-10.5,23.5,48.5,18,12,35,16,,,Away Try,Away,Away,Ryan Sutton,Jayden Okunbor,1,0,1,0,1,0,1,0
2,11275,2026-09-11,20:00:00,https://www.superleague.co.uk/match-centre/report/44091,27,0,15.9,0,0.45,broken clouds,Leeds Rhinos,Hull FC,1.05,41.35,10.85,-13.5,-27.5,25.5,52.5,6,6,12,18,,,Away Try,Away,Home,Logan Moy,Kallum Watkins,0,1,0,1,0,1,0,1
2,11276,2026-09-11,20:00:00,https://www.superleague.co.uk/match-centre/report/44092,27,0,16.24,0,1.34,clear sky,Leigh Leopards,Wakefield Trinity,1.45,20.65,2.85,-2.5,-6.5,21.5,44.5,0,13,8,19,,,Away Try,Away,Away,Tom Johnstone,Cameron Scott,0,1,0,1,0,1,0,1
2,11277,2026-09-11,20:00:00,https://www.superleague.co.uk/match-centre/report/44093,27,0,16.27,0,2.57,scattered clouds,Warrington Wolves,Toulouse Olympique,1.9,19.85,2,0.5,-0.5,23.5,48.5,8,8,26,14,,,Away Try,Away,Home,Paul Ulberg,Josh Smith,1,0,1,0,0,1,0,1
2,11278,2026-09-11,20:00:00,https://www.superleague.co.uk/match-centre/report/44095,27,0,16.05,0,2.57,few clouds,St Helens,Hull Kingston Rovers,1.01,52.65,25.9,-17.5,-36.5,26.5,54.5,18,0,36,12,,,Home Try,Home,Home,Mark Percival,Harry Robertson,1,0,0,1,0,1,0,1
2,11279,2026-09-11,20:00:00,https://www.superleague.co.uk/match-centre/report/44096,27,0,15.9,0,2.1,clear sky,Wigan Warriors,Catalans Dragons,1.01,53.8,31.25,-19.5,-40.5,27.5,56.5,24,6,50,12,,,Home Try,Home,Away,Harry Smith,Alexis Lis,0,1,0,1,1,0,1,0
2,11280,2026-09-12,15:00:00,https://www.superleague.co.uk/match-centre/report/44090,27,0,17.7,0.15,2.24,light rain,Huddersfield Giants,Castleford Tigers,1.2,29,4.55,-5.5,-12.5,24.5,49.5,24,6,48,16,,,Home Try,Home,Home,Taane Milne,Taane Milne,1,0,1,0,1,0,1,0
